LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C19273152,YONGYUTAI(永裕泰),YLED0603Y,,LED0603-RD-1,,-,8,,,YLED0603Y,YONGYUTAI,100,0.0031,0.31,C19273152,-,100,100,4000,50500,In Stock,,Yellow LED Indication - Discrete 1.8V~2.4V 0603,Exact Matches,
C21190,UNI-ROYAL(厚声),0603WAF1001T5E,,R0603,,-,8,,,0603WAF1001T5E,UNI-ROYAL,100,0.0006,0.06,C21190,-,100,100,5000,14867000,In Stock,,1kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,
C720477,XUNPU(讯普),TS-1088-AR02016,,SW-SMD_L3.9-W3.0-P4.45,,-,1,,,TS-1088-AR02016,XUNPU,10,0.0513,0.51,C720477,"SMD,4x3mm",10,10,4000,460100,In Stock,,Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C720477.html
C14663,YAGEO(国巨),CC0603KRX7R9BB104,,C0603,,-,6,,,CC0603KRX7R9BB104,YAGEO,100,0.0014,0.14,C14663,-,100,100,4000,3017800,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,
C96446,SAMSUNG(三星),CL10A106MA8NRNC,,C0603,,-,2,,,CL10A106MA8NRNC,Samsung Electro-Mechanics,20,0.0148,0.30,C96446,-,20,20,4000,1157380,In Stock,,10uF ±20% 25V Ceramic Capacitor X5R 0603,Exact Matches,
C5248081,HS(汉昇),HS91L02W2C01,,OLED-TH_L38.0-W12.0_HS91L02W2C01,,-,1,,,HS91L02W2C01,HS,1,1.7970,1.80,C5248081,-,1,1,1,5318,In Stock,,"0.91 128x32 SSD1306 chip I2C LCD, OLED, Graphic RoHS",Exact Matches,
C25804,UNI-ROYAL(厚声),0603WAF1002T5E,,R0603,,-,2,,,0603WAF1002T5E,UNI-ROYAL,100,0.0006,0.06,C25804,-,100,100,5000,0,Backordered,,10kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,
C23186,UNI-ROYAL(厚声),0603WAF5101T5E,,R0603,,-,2,,,0603WAF5101T5E,UNI-ROYAL,100,0.0006,0.06,C23186,-,100,100,5000,0,Backordered,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,
C2934560,ESPRESSIF(乐鑫),ESP32-C3-WROOM-02-N4,,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,,-,1,,,ESP32-C3-WROOM-02-N4,ESPRESSIF,1,2.3381,2.34,C2934560,-,1,1,650,8574,In Stock,,2.4GHz ESP32-C3 Chip On-board PCB Antenna -105dBm VFQFN-32-EP RF Transceiver Modules and Modems RoHS,Exact Matches,
C6186,AMS,AMS1117-3.3,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,-,1,,,AMS1117-3.3,Advanced Monolithic Systems,5,0.1342,0.67,C6186,-,5,5,2500,514905,In Stock,,"3.3V 15V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Exact Matches,
C84681,WCH(南京沁恒),CH340C,,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,,-,1,,,CH340C,WCH,1,0.4105,0.41,C84681,-,1,1,50,15915,In Stock,,Transceiver 2Mbps USB 2.0 SOP-16 Interface Controllers RoHS,Exact Matches,
C2765186,SHOU HAN(首韩),TYPE-C 16PIN 2MD(073),,USB-C-SMD_TYPE-C-6PIN-2MD-073,,-,1,,,TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0456,0.91,C2765186,-,20,20,1000,943920,In Stock,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",Exact Matches,
C99782,YAGEO(国巨),RC0603FR-074K7L,,R0603,,-,2,,,RC0603FR-074K7L,YAGEO,100,0.0007,0.07,C99782,-,100,100,5000,2936300,In Stock,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,
